,Postcode,Borough,Neighbourhood
178,St. Phillips ,M9R,Etobicoke
179,Agincourt ,M1S,Scarborough
180,Not assigned ,M2S,Not assigned
181,Not assigned ,M3S,Not assigned
182,Davisville ,M4S,Central Toronto
183,Harbord ,M5S,Downtown Toronto
184,University of Toronto ,M5S,Downtown Toronto
185,Runnymede ,M6S,West Toronto
186,Swansea ,M6S,West Toronto
187,Not assigned ,M7S,Not assigned
188,Not assigned ,M8S,Not assigned
189,Not assigned ,M9S,Not assigned
190,Clarks Corners ,M1T,Scarborough
191,Sullivan ,M1T,Scarborough
192,Tam O'Shanter ,M1T,Scarborough
193,Not assigned ,M2T,Not assigned
194,Not assigned ,M3T,Not assigned
195,Moore Park ,M4T,Central Toronto
196,Summerhill East ,M4T,Central Toronto
197,Chinatown ,M5T,Downtown Toronto
198,Grange Park ,M5T,Downtown Toronto
199,Kensington Market ,M5T,Downtown Toronto
200,Not assigned ,M6T,Not assigned
201,Not assigned ,M7T,Not assigned
202,Not assigned ,M8T,Not assigned
203,Not assigned ,M9T,Not assigned
204,Agincourt North ,M1V,Scarborough
205,L'Amoreaux East ,M1V,Scarborough
206,Milliken ,M1V,Scarborough
207,Steeles East ,M1V,Scarborough
208,Not assigned ,M2V,Not assigned
209,Not assigned ,M3V,Not assigned
210,Deer Park ,M4V,Central Toronto
211,Forest Hill SE ,M4V,Central Toronto
212,Rathnelly ,M4V,Central Toronto
213,South Hill ,M4V,Central Toronto
214,Summerhill West ,M4V,Central Toronto
215,CN Tower ,M5V,Downtown Toronto
216,Bathurst Quay ,M5V,Downtown Toronto
217,Island airport ,M5V,Downtown Toronto
218,Harbourfront West ,M5V,Downtown Toronto
219,King and Spadina ,M5V,Downtown Toronto
220,Railway Lands ,M5V,Downtown Toronto
221,South Niagara ,M5V,Downtown Toronto
222,Not assigned ,M6V,Not assigned
223,Not assigned ,M7V,Not assigned
224,Humber Bay Shores ,M8V,Etobicoke
225,Mimico South ,M8V,Etobicoke
226,New Toronto ,M8V,Etobicoke
227,Albion Gardens ,M9V,Etobicoke
228,Beaumond Heights ,M9V,Etobicoke
229,Humbergate ,M9V,Etobicoke
230,Jamestown ,M9V,Etobicoke
231,Mount Olive ,M9V,Etobicoke
232,Silverstone ,M9V,Etobicoke
233,South Steeles ,M9V,Etobicoke
234,Thistletown ,M9V,Etobicoke
235,L'Amoreaux West ,M1W,Scarborough
236,Not assigned ,M2W,Not assigned
237,Not assigned ,M3W,Not assigned
238,Rosedale ,M4W,Downtown Toronto
239,Stn A PO Boxes 25 The Esplanade ,M5W,Downtown Toronto
240,Not assigned ,M6W,Not assigned
241,Not assigned ,M7W,Not assigned
242,Alderwood ,M8W,Etobicoke
243,Long Branch ,M8W,Etobicoke
244,Northwest ,M9W,Etobicoke
245,Upper Rouge ,M1X,Scarborough
246,Not assigned ,M2X,Not assigned
247,Not assigned ,M3X,Not assigned
248,Cabbagetown ,M4X,Downtown Toronto
249,St. James Town ,M4X,Downtown Toronto
250,First Canadian Place ,M5X,Downtown Toronto
251,Underground city ,M5X,Downtown Toronto
252,Not assigned ,M6X,Not assigned
253,Not assigned ,M7X,Not assigned
254,The Kingsway ,M8X,Etobicoke
255,Montgomery Road ,M8X,Etobicoke
256,Old Mill North ,M8X,Etobicoke
257,Not assigned ,M9X,Not assigned
258,Not assigned ,M1Y,Not assigned
259,Not assigned ,M2Y,Not assigned
260,Not assigned ,M3Y,Not assigned
261,Church and Wellesley ,M4Y,Downtown Toronto
262,Not assigned ,M5Y,Not assigned
263,Not assigned ,M6Y,Not assigned
264,Business Reply Mail Processing Centre 969 Eastern ,M7Y,East Toronto
265,Humber Bay ,M8Y,Etobicoke
266,King's Mill Park ,M8Y,Etobicoke
267,Kingsway Park South East ,M8Y,Etobicoke
268,Mimico NE ,M8Y,Etobicoke
269,Old Mill South ,M8Y,Etobicoke
270,The Queensway East ,M8Y,Etobicoke
271,Royal York South East ,M8Y,Etobicoke
272,Sunnylea ,M8Y,Etobicoke
273,Not assigned ,M9Y,Not assigned
274,Not assigned ,M1Z,Not assigned
275,Not assigned ,M2Z,Not assigned
276,Not assigned ,M3Z,Not assigned
277,Not assigned ,M4Z,Not assigned
278,Not assigned ,M5Z,Not assigned
279,Not assigned ,M6Z,Not assigned
280,Not assigned ,M7Z,Not assigned
281,Kingsway Park South West ,M8Z,Etobicoke
282,Mimico NW ,M8Z,Etobicoke
283,The Queensway West ,M8Z,Etobicoke
284,Royal York South West ,M8Z,Etobicoke
285,South of Bloor ,M8Z,Etobicoke
286,Not assigned ,M9Z,Not assigned
